,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,301,171,1262,235,1734,0
1,410,175,165,169,751,0
2,61,158,163,170,382,0
3,337,167,3,168,507,0
4,173,189,473,168,835,0
5,214,174,747,169,1135,0
6,241,174,124,170,539,0
7,271,180,390,171,841,0
8,82,157,13,166,252,0
9,291,171,133,168,595,0
10,204,175,29,170,408,0
11,242,170,158,169,570,0
12,279,183,408,172,870,0
13,110,173,168,170,451,0
14,98,163,8,168,269,0
15,48,155,15,168,218,0
16,404,169,352,167,925,0
17,312,169,3,170,484,0
18,243,180,119,171,542,0
19,441,173,248,172,862,0
20,295,171,1,168,467,0
21,295,177,16,170,488,0
22,64,158,18,171,240,0
23,317,191,630,171,1138,0
24,340,168,546,169,1054,0
25,216,155,14,167,385,0
26,46,137,39,169,222,0
27,299,180,9,167,488,0
28,106,102,159,168,367,0
29,301,168,5,169,475,0
30,53,160,39,170,252,0
31,178,169,141,170,489,0
32,296,153,316,172,765,0
33,300,182,593,168,1075,0
34,292,149,23,171,464,0
35,99,166,28,167,293,0
36,294,169,23,170,486,0
37,86,167,7,171,260,0
38,85,175,29,168,289,0
39,129,162,9,169,301,0
40,459,172,3,169,634,0
41,120,177,40,172,337,0
42,47,60,161,169,268,0
43,329,174,629,170,1132,0
44,159,182,5,170,346,0
45,155,184,4,168,343,0
46,170,171,100,170,441,0
47,299,178,292,168,769,0
48,301,164,9,168,474,0
49,90,174,91,168,355,0
50,91,160,152,169,403,0
51,153,162,244,168,559,0
52,87,138,123,167,349,0
53,95,167,3,168,265,0
54,389,169,483,168,1041,0
55,174,168,134,168,476,0
56,97,151,198,171,447,0
57,98,181,211,170,490,0
58,178,150,21,169,349,0
59,297,169,134,167,600,0
60,326,166,7,168,499,0
61,58,153,87,169,298,0
62,172,167,10,169,349,0
63,169,173,114,168,456,0
