,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,203,95,270,128,568,0
1,235,109,97,102,442,0
2,49,88,105,100,242,0
3,218,101,6,103,325,0
4,98,133,269,102,500,0
5,247,101,279,96,629,0
6,112,100,75,102,287,0
7,131,101,139,98,371,0
8,83,74,84,99,241,0
9,153,110,80,109,344,0
10,100,100,9,100,209,0
11,86,103,48,105,239,0
12,171,110,139,100,421,0
13,189,104,227,103,520,0
14,190,126,145,102,462,0
15,50,69,42,99,161,0
16,157,99,87,99,343,0
17,160,98,5,99,263,0
18,92,92,45,102,229,0
19,136,104,8,100,248,0
20,150,109,81,103,340,0
21,158,123,173,101,455,0
22,78,81,108,99,267,0
23,203,110,270,101,585,0
24,98,98,137,100,334,0
25,135,96,13,101,244,0
26,56,55,50,101,161,0
27,158,104,6,102,268,0
28,97,11,160,98,268,0
29,158,102,3,101,263,0
30,60,91,16,100,167,0
31,99,100,68,101,267,0
