,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,226,92,92,94,410,32
1,187,93,91,94,371,32
2,4,93,241,94,338,32
3,88,94,218,125,400,32
4,202,93,1,94,296,32
5,5,93,160,94,258,32
6,0,76,61,94,137,32
7,227,93,180,94,500,32
8,31,105,218,94,354,32
9,22,93,76,94,191,32
10,0,90,110,94,200,32
11,151,93,2,94,246,32
12,8,82,41,94,131,32
13,57,96,2,94,155,32
14,168,95,155,94,418,32
15,7,94,73,94,174,32
16,32,91,80,94,203,32
17,89,99,170,94,358,32
18,3,86,132,94,221,32
19,35,84,10,94,129,32
20,215,91,2,94,308,32
21,155,91,266,94,512,32
22,7,78,16,94,101,32
23,0,86,8,94,94,32
24,51,91,2,94,144,32
25,17,91,78,94,186,32
26,11,91,149,94,251,32
27,82,0,233,94,315,32
28,6,88,6,94,100,32
29,73,93,0,94,166,32
30,121,93,1,94,215,32
31,118,95,165,94,378,32
