,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,1488,168,162,165,1818,63
1,383,170,113,165,666,63
2,290,170,428,165,888,63
3,1496,172,1169,228,2837,63
4,1351,162,2,165,1515,63
5,68,164,385,165,617,63
6,16,147,195,165,358,63
7,415,164,343,165,922,63
8,73,113,52,165,238,63
9,44,164,60,165,268,63
10,95,149,1512,165,1756,63
11,357,172,14,165,543,63
12,10,81,84,165,175,63
13,74,180,164,165,418,63
14,509,178,416,165,1103,63
15,551,165,124,165,840,63
16,787,163,264,165,1214,63
17,908,171,28,165,1107,63
18,205,159,105,165,469,63
19,80,109,56,165,245,63
20,486,163,121,165,770,63
21,1211,166,602,165,1979,63
22,12,133,32,165,177,63
23,2,159,6,165,167,63
24,838,164,0,165,1002,63
25,684,170,2,165,856,63
26,23,131,34,165,188,63
27,89,141,105,165,335,63
28,450,155,10,165,615,63
29,866,188,0,165,1054,63
30,1101,166,1,165,1268,63
31,269,164,108,165,541,63
32,65,137,34,165,236,63
33,118,188,0,165,306,63
34,1145,149,16,165,1310,63
35,187,161,4,165,352,63
36,80,164,0,165,244,63
37,1255,164,2,165,1421,63
38,69,153,12,165,234,63
39,223,161,6,165,390,63
40,243,161,141,165,545,63
41,24,175,66,165,265,63
42,152,170,45,165,367,63
43,121,161,178,165,460,63
44,4,129,81,165,214,63
45,95,153,209,165,457,63
46,1519,164,0,165,1683,63
47,67,187,149,165,403,63
48,54,87,140,165,281,63
49,1049,162,586,165,1797,63
50,1300,164,620,165,2084,63
51,597,164,0,165,761,63
52,0,119,87,165,206,63
53,105,143,22,165,270,63
54,732,164,263,165,1159,63
55,170,164,96,165,430,63
56,138,164,0,165,302,63
57,643,164,127,165,934,63
58,999,145,306,165,1450,63
59,28,148,129,165,305,63
60,1440,164,478,165,2082,63
61,32,164,0,165,196,63
62,330,164,109,165,603,63
63,953,145,20,165,1118,63
