,Correction,Forward,Successor,init,Lookup Messages,Broadcast Messages
0,9798,311,305,312,10414,128
1,3033,321,200,312,3554,128
2,2209,365,365,312,2939,128
3,10216,323,1251,439,11790,128
4,9148,312,297,312,9757,128
5,297,311,248,312,856,128
6,36,290,22,312,348,128
7,3241,311,1032,312,4584,128
8,128,292,89,312,509,128
9,51,311,0,312,362,128
10,200,310,2,312,512,128
11,2942,343,0,312,3285,128
12,36,136,10392,312,10564,128
13,465,325,0,312,790,128
14,3721,311,212,312,4244,128
15,3902,311,889,312,5102,128
16,4881,311,465,312,5657,128
17,5365,324,0,312,5689,128
18,1664,250,62,312,1976,128
19,109,284,51,312,444,128
20,3597,304,218,312,4119,128
21,7367,311,0,312,7678,128
22,29,268,44,312,341,128
23,15,299,14,312,328,128
24,5016,311,0,312,5327,128
25,4504,351,0,312,4855,128
26,40,292,199,312,531,128
27,698,164,560,312,1422,128
28,3480,306,250,312,4036,128
29,5146,311,0,312,5457,128
30,6514,342,516,312,7372,128
31,2163,311,180,312,2654,128
32,335,293,140,312,768,128
33,1161,413,462,312,2036,128
34,6804,272,40,312,7116,128
35,1590,214,98,312,1902,128
36,413,311,0,312,724,128
37,8506,311,587,312,9404,128
38,299,292,20,312,611,128
39,1818,274,40,312,2132,128
40,1899,294,18,312,2211,128
41,44,304,94,312,442,128
42,1307,311,0,312,1618,128
43,1118,288,174,312,1580,128
44,21,262,118,312,401,128
45,148,215,403,312,766,128
46,10170,313,929,312,11412,128
47,166,388,340,312,894,128
48,88,227,374,312,689,128
49,5989,302,764,312,7055,128
50,8639,311,288,312,9238,128
51,4028,311,0,312,4339,128
52,1,210,162,312,373,128
53,978,248,64,312,1290,128
54,4627,311,48,312,4986,128
55,1444,327,0,312,1771,128
56,1233,311,0,312,1544,128
57,4153,314,220,312,4687,128
58,5863,282,574,312,6719,128
59,40,254,227,312,521,128
60,9286,311,895,312,10492,128
61,41,311,0,312,352,128
62,2866,311,421,312,3598,128
63,5603,250,306,312,6159,128
64,8138,311,1,312,8450,128
65,4412,311,253,312,4976,128
66,226,310,2,312,538,128
67,2662,311,0,312,2973,128
68,1738,308,344,312,2390,128
69,8380,313,568,312,9261,128
70,8002,392,280,312,8674,128
71,2295,298,225,312,2818,128
72,30,332,88,312,450,128
73,36,284,28,312,348,128
74,5485,321,23,312,5829,128
75,3784,366,1341,312,5491,128
76,1382,312,222,312,1916,128
77,10,303,8,312,321,128
78,347,290,778,312,1415,128
79,4749,0,1131,312,5880,128
80,634,311,287,312,1232,128
81,6397,316,1033,312,7746,128
82,10055,326,0,312,10381,128
83,36,290,102,312,428,128
84,1979,308,532,312,2819,128
85,7077,304,272,312,7653,128
86,3136,311,229,312,3676,128
87,2383,298,53,312,2734,128
88,2070,311,385,312,2766,128
89,7658,315,575,312,8548,128
90,8769,310,301,312,9380,128
91,909,288,24,312,1221,128
92,1050,302,156,312,1508,128
93,5735,298,14,312,6047,128
94,6664,311,0,312,6975,128
95,6122,311,504,312,6937,128
96,198,226,86,312,510,128
97,9659,311,302,312,10272,128
98,231,238,74,312,543,128
99,75,219,92,312,386,128
100,769,246,66,312,1081,128
101,174,260,54,312,488,128
102,7793,313,0,312,8106,128
103,8258,310,3,312,8571,128
104,2558,294,968,312,3820,128
105,1517,311,164,312,1992,128
106,5250,334,0,312,5584,128
107,7510,311,270,312,8091,128
108,9934,311,0,312,10245,128
109,513,327,0,312,840,128
110,6258,311,0,312,6569,128
111,4282,311,0,312,4593,128
112,3,216,158,312,377,128
113,36,190,198,312,424,128
114,2763,311,0,312,3074,128
115,573,311,0,312,884,128
116,838,212,100,312,1150,128
117,1188,312,308,312,1808,128
118,8898,311,0,312,9209,128
119,2470,270,42,312,2782,128
120,3360,278,34,312,3672,128
121,7220,311,0,312,7531,128
122,61,311,184,312,556,128
123,256,382,170,312,808,128
124,9424,311,0,312,9735,128
125,7937,311,276,312,8524,128
126,9018,322,882,312,10222,128
127,262,224,204,312,690,128
